YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_ARR_1,DLY_APT_ARR_A_1,DLY_APT_ARR_C_1,DLY_APT_ARR_D_1,DLY_APT_ARR_E_1,DLY_APT_ARR_G_1,DLY_APT_ARR_I_1,DLY_APT_ARR_M_1,DLY_APT_ARR_N_1,DLY_APT_ARR_O_1,DLY_APT_ARR_P_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1,DLY_APT_ARR_T_1,DLY_APT_ARR_V_1,DLY_APT_ARR_W_1,DLY_APT_ARR_NA_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,ATFM_VERSION
2022,1,JAN,1-Jan-2022,EGHI,Southampton,United Kingdom,7,,,,,,,,,,,,,,,,,,,,v2,Southampton (EGHI)
2022,1,JAN,1-Jan-2022,EGNX,East Midlands,United Kingdom,15,,,,,,,,,,,,,,,,,,,,v2,East Midlands (EGNX)
2022,1,JAN,1-Jan-2022,LEPP,Noain Pamplona,Spain,2,,,,,,,,,,,,,,,,,,,,v2,Noain Pamplona (LEPP)
2022,1,JAN,1-Jan-2022,LFPO,Paris-Orly,France,220,193,0,0,0,0,0,0,0,0,0,0,0,136,0,0,57,0,17,4,v2,Paris-Orly (LFPO)
2022,1,JAN,1-Jan-2022,LECO,La Coruna,Spain,9,,,,,,,,,,,,,,,,,,,,v2,La Coruna (LECO)
2022,1,JAN,1-Jan-2022,LOWI,Innsbruck,Austria,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,1,v2,Innsbruck (LOWI)
2022,1,JAN,1-Jan-2022,LEIB,Ibiza,Spain,33,,,,,,,,,,,,,,,,,,,,v2,Ibiza (LEIB)
2022,1,JAN,1-Jan-2022,LFBL,Limoges-Bellegarde,France,1,,,,,,,,,,,,,,,,,,,,v2,Limoges-Bellegarde (LFBL)
2022,1,JAN,1-Jan-2022,LEIZ,Abad,Spain,1,,,,,,,,,,,,,,,,,,,,v2,Abad (LEIZ)
2022,1,JAN,1-Jan-2022,ENVA,Trondheim,Norway,22,,,,,,,,,,,,,,,,,,,,v2,Trondheim (ENVA)
2022,1,JAN,1-Jan-2022,GMMX,Marrakech,Morocco,4,,,,,,,,,,,,,,,,,,,,v2,Marrakech (GMMX)
2022,1,JAN,1-Jan-2022,LESO,San Sebastian,Spain,4,,,,,,,,,,,,,,,,,,,,v2,San Sebastian (LESO)
2022,1,JAN,1-Jan-2022,LFOP,Rouen,France,2,,,,,,,,,,,,,,,,,,,,v2,Rouen (LFOP)
2022,1,JAN,1-Jan-2022,EGPD,Aberdeen,United Kingdom,9,,,,,,,,,,,,,,,,,,,,v2,Aberdeen (EGPD)
2022,1,JAN,1-Jan-2022,EDDV,Hanover,Germany,31,,,,,,,,,,,,,,,,,,,,v2,Hanover (EDDV)
2022,1,JAN,1-Jan-2022,EPRZ,Rzeszow - Jasionka,Poland,7,,,,,,,,,,,,,,,,,,,,v2,Rzeszow - Jasionka (EPRZ)
2022,1,JAN,1-Jan-2022,EPSC,Szczecin - Goleniów,Poland,4,,,,,,,,,,,,,,,,,,,,v2,Szczecin - Goleniów (EPSC)
2022,1,JAN,1-Jan-2022,LFBE,Bergerac-Roumanière,France,3,,,,,,,,,,,,,,,,,,,,v2,Bergerac-Roumanière (LFBE)
2022,1,JAN,1-Jan-2022,LIPH,Treviso,Italy,13,,,,,,,,,,,,,,,,,,,,v2,Treviso (LIPH)
2022,1,JAN,1-Jan-2022,LPPT,Lisbon,Portugal,220,,,,,,,,,,,,,,,,,,,,v2,Lisbon (LPPT)
2022,1,JAN,1-Jan-2022,LFRB,Brest-Bretagne,France,8,,,,,,,,,,,,,,,,,,,,v2,Brest-Bretagne (LFRB)
2022,1,JAN,1-Jan-2022,EYVI,Vilnius,Lithuania,37,,,,,,,,,,,,,,,,,,,,v2,Vilnius (EYVI)
2022,1,JAN,1-Jan-2022,LFRS,Nantes-Atlantique,France,54,,,,,,,,,,,,,,,,,,,,v2,Nantes-Atlantique (LFRS)
2022,1,JAN,1-Jan-2022,GCGM,La Gomera,Spain,2,,,,,,,,,,,,,,,,,,,,v2,La Gomera (GCGM)
2022,1,JAN,1-Jan-2022,UDYZ,Zvartnots,Armenia,30,,,,,,,,,,,,,,,,,,,,v2,Zvartnots (UDYZ)
2022,1,JAN,1-Jan-2022,EGGW,London/ Luton,United Kingdom,105,,,,,,,,,,,,,,,,,,,,v2,London/ Luton (EGGW)
2022,1,JAN,1-Jan-2022,LEMG,Málaga,Spain,137,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,13,7,v2,Málaga (LEMG)
2022,1,JAN,1-Jan-2022,LFBI,Poitiers-Biard,France,1,,,,,,,,,,,,,,,,,,,,v2,Poitiers-Biard (LFBI)
2022,1,JAN,1-Jan-2022,LIRA,Rome/Ciampino,Italy,30,,,,,,,,,,,,,,,,,,,,v2,Rome/Ciampino (LIRA)
2022,1,JAN,1-Jan-2022,EPMO,Warszawa/ Modlin,Poland,24,,,,,,,,,,,,,,,,,,,,v2,Warszawa/ Modlin (EPMO)
2022,1,JAN,1-Jan-2022,EBAW,Antwerp,Belgium,8,,,,,,,,,,,,,,,,,,,,v2,Antwerp (EBAW)
2022,1,JAN,1-Jan-2022,EPWR,Wroclaw/ Strachowice,Poland,21,,,,,,,,,,,,,,,,,,,,v2,Wroclaw/ Strachowice (EPWR)
2022,1,JAN,1-Jan-2022,LOWK,Klagenfurt,Austria,2,,,,,,,,,,,,,,,,,,,,v2,Klagenfurt (LOWK)
